scientific_name,inat_common_name,ref_common_name,comment
Pinus yunnanensis,云南松,云南松,Matched
Oxalis articulata,关节酢浆草,,Species not included in reference
Quercus,栎属,栎属,Matched
Homalothecium fulgescens,,,Missed common name on iNat
Platycladus orientalis,侧柏,侧柏,Matched
Nymphaea × khurooi,红睡莲,,Species not included in reference
Punica granatum,石榴,石榴,Matched
Musa,芭蕉属,芭蕉属,Matched
Edgeworthia chrysantha,结香,结香,Matched
Ginkgo biloba,银杏,银杏,Matched
Oenothera,月见草属,月见草属,Matched
Hypericum,金丝桃属,金丝桃属,Matched
Schisandra,五味子属,五味子属,Matched
Oxalis,酢浆草属,酢浆草属,Matched
Oxalis griffithii,山酢浆草,山酢浆草,Matched
Arisaema consanguineum,长行天南星,,Species not included in reference
Hypericum patulum,金丝桃,金丝梅,Inconsistent common name
Lyonia,珍珠花属,珍珠花属,Matched
Lyonia ovalifolia,珍珠花,珍珠花,Matched
Strobus,軟松(单维管束松)亚属,,Species not included in reference
Pinus armandi,华山松,,Species not included in reference
Rhododendron,杜鹃花属,杜鹃花属,Matched
Lithocarpus,柯属,柯属,Matched
Illicium,八角属,八角属,Matched
Stellaria,繁缕属,繁缕属,Matched
Lysimachia,珍珠菜属,珍珠菜属,Matched
Magnolia,木兰属,北美木兰属,Inconsistent common name
Hypericum ascyron,黄海棠,黄海棠,Matched
Castanopsis,锥属,锥属,Matched
Quercus franchetii,锥连栎,锥连栎,Matched
Erodium,牻牛儿苗属,牻牛儿苗属,Matched
Pedicularis contorta,,,Missed common name on iNat
Fargesia robusta,,拐棍竹,Missed common name on iNat
Capsicum annuum,辣椒,辣椒,Matched
Cenchrus setaceus,,,Missed common name on iNat
Ipomoea,牵牛属,番薯属,Inconsistent common name
Styphnolobium japonicum,槐,槐,Matched
Ipomoea purpurea,圆叶牵牛,圆叶牵牛,Matched
Phytolacca americana,垂序商陆,垂序商陆,Matched
Rhus chinensis,盐肤木,盐麸木,Inconsistent common name
Quercus dentata,槲树,槲树,Matched
Prunus,李属,李属,Matched
Dioscorea,薯蓣属,薯蓣属,Matched
Alluaudia procera,亚龙木,,Species not included in reference
Chrysanthemum,菊属,菊属,Matched
Lantana camara,马缨丹,马缨丹,Matched
Bougainvillea,叶子花属,叶子花属,Matched
Sphagneticola trilobata,南美蟛蜞菊,南美蟛蜞菊,Matched
Alocasia macrorrhizos,热亚海芋,热亚海芋,Matched
Hibiscus,木槿属,木槿属,Matched
Bauhinia × blakeana,红花羊蹄甲,红花羊蹄甲,Matched
Pinus densiflora,赤松,赤松,Matched
Clerodendrum bungei,臭牡丹,臭牡丹,Matched
Vigna unguiculata sesquipedalis,长虹豆,,Species not included in reference
